measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,baseline,baseline,0,YuTC25,Store,5,10,20,690,15625,7.781451,0.027886897,3,True
protocol_execution,baseline,baseline,0,YuTC25,Challenge,5,10,20,690,15625,0.009446833,0.000138998,3,True
protocol_execution,baseline,baseline,0,YuTC25,ProofGen,5,10,20,690,15625,0.068266903,0.010398208,3,True
protocol_execution,baseline,baseline,0,YuTC25,Verify,5,10,20,690,15625,0.312995875,0.003276439,3,True
protocol_execution,baseline,baseline,0,YuTC25,Audit,5,10,20,690,15625,0.390709611,0.010928841,3,True
protocol_execution,baseline,baseline,0,ZhangTPDS23,Store,5,10,20,690,15625,18.141332889,0.021412505,3,True
protocol_execution,baseline,baseline,0,ZhangTPDS23,Challenge,5,10,20,690,15625,0.009323722,9.4461e-05,3,True
protocol_execution,baseline,baseline,0,ZhangTPDS23,ProofGen,5,10,20,690,15625,0.314911125,0.002745108,3,True
protocol_execution,baseline,baseline,0,ZhangTPDS23,Verify,5,10,20,690,15625,0.758043028,0.015083966,3,True
protocol_execution,baseline,baseline,0,ZhangTPDS23,Audit,5,10,20,690,15625,1.082277874,0.016908907,3,True
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Store,5,10,20,690,15625,17.277485597,0.083209361,3,True
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Challenge,5,10,20,690,15625,0.005175848,3.0619e-05,3,True
protocol_execution,baseline,baseline,0,MiaoSCIS2026,ProofGen,5,10,20,690,15625,0.258472459,0.00907361,3,True
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Verify,5,10,20,690,15625,0.497734903,0.001217888,3,True
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Audit,5,10,20,690,15625,0.761383209,0.008454729,3,True
protocol_execution,baseline,baseline,0,XuTIFS26,Store,5,10,20,690,15625,7.726997014,0.015795124,3,True
protocol_execution,baseline,baseline,0,XuTIFS26,Challenge,5,10,20,690,15625,0.001946167,1.3787e-05,3,True
protocol_execution,baseline,baseline,0,XuTIFS26,ProofGen,5,10,20,690,15625,0.069236777,0.00035506,3,True
protocol_execution,baseline,baseline,0,XuTIFS26,Verify,5,10,20,690,15625,0.30883618,0.020569652,3,True
protocol_execution,baseline,baseline,0,XuTIFS26,Audit,5,10,20,690,15625,0.380019125,0.020488802,3,True
protocol_execution,baseline,baseline,0,FoldAudit,Store,5,10,20,690,15625,7.984601806,0.109769628,3,True
protocol_execution,baseline,baseline,0,FoldAudit,Challenge,5,10,20,690,15625,0.000764153,2.317e-05,3,True
protocol_execution,baseline,baseline,0,FoldAudit,ProofGen,5,10,20,690,15625,0.087180611,0.000944141,3,True
protocol_execution,baseline,baseline,0,FoldAudit,Verify,5,10,20,690,15625,0.30372732,0.001654127,3,True
protocol_execution,baseline,baseline,0,FoldAudit,Audit,5,10,20,690,15625,0.391672083,0.002503764,3,True
