scenario,metric,scheme,m,B_MB,s,c,n,bytes
vary_B,Store,YuTC25,5,10,20,690,15625,55000160
vary_B,Store,ZhangTPDS23,5,10,20,690,15625,55000000
vary_B,Store,MiaoSCIS2026,5,10,20,690,15625,7500320
vary_B,Store,XuTIFS26,5,10,20,690,15625,55000160
vary_B,Store,FoldAudit,5,10,20,690,15625,55000160
vary_B,Store,YuTC25,5,20,20,690,31250,110000160
vary_B,Store,ZhangTPDS23,5,20,20,690,31250,110000000
vary_B,Store,MiaoSCIS2026,5,20,20,690,31250,15000320
vary_B,Store,XuTIFS26,5,20,20,690,31250,110000160
vary_B,Store,FoldAudit,5,20,20,690,31250,110000160
vary_B,Store,YuTC25,5,30,20,690,46875,165000160
vary_B,Store,ZhangTPDS23,5,30,20,690,46875,165000000
vary_B,Store,MiaoSCIS2026,5,30,20,690,46875,22500320
vary_B,Store,XuTIFS26,5,30,20,690,46875,165000160
vary_B,Store,FoldAudit,5,30,20,690,46875,165000160
vary_B,Store,YuTC25,5,40,20,690,62500,220000160
vary_B,Store,ZhangTPDS23,5,40,20,690,62500,220000000
vary_B,Store,MiaoSCIS2026,5,40,20,690,62500,30000320
vary_B,Store,XuTIFS26,5,40,20,690,62500,220000160
vary_B,Store,FoldAudit,5,40,20,690,62500,220000160
vary_B,Store,YuTC25,5,50,20,690,78125,275000160
vary_B,Store,ZhangTPDS23,5,50,20,690,78125,275000000
vary_B,Store,MiaoSCIS2026,5,50,20,690,78125,37500320
vary_B,Store,XuTIFS26,5,50,20,690,78125,275000160
vary_B,Store,FoldAudit,5,50,20,690,78125,275000160
vary_B,Store,YuTC25,5,60,20,690,93750,330000160
vary_B,Store,ZhangTPDS23,5,60,20,690,93750,330000000
vary_B,Store,MiaoSCIS2026,5,60,20,690,93750,45000320
vary_B,Store,XuTIFS26,5,60,20,690,93750,330000160
vary_B,Store,FoldAudit,5,60,20,690,93750,330000160
vary_B,Store,YuTC25,5,70,20,690,109375,385000160
vary_B,Store,ZhangTPDS23,5,70,20,690,109375,385000000
vary_B,Store,MiaoSCIS2026,5,70,20,690,109375,52500320
vary_B,Store,XuTIFS26,5,70,20,690,109375,385000160
vary_B,Store,FoldAudit,5,70,20,690,109375,385000160
vary_B,Store,YuTC25,5,80,20,690,125000,440000160
vary_B,Store,ZhangTPDS23,5,80,20,690,125000,440000000
vary_B,Store,MiaoSCIS2026,5,80,20,690,125000,60000320
vary_B,Store,XuTIFS26,5,80,20,690,125000,440000160
vary_B,Store,FoldAudit,5,80,20,690,125000,440000160
vary_B,Store,YuTC25,5,90,20,690,140625,495000160
vary_B,Store,ZhangTPDS23,5,90,20,690,140625,495000000
vary_B,Store,MiaoSCIS2026,5,90,20,690,140625,67500320
vary_B,Store,XuTIFS26,5,90,20,690,140625,495000160
vary_B,Store,FoldAudit,5,90,20,690,140625,495000160
vary_B,Store,YuTC25,5,100,20,690,156250,550000160
vary_B,Store,ZhangTPDS23,5,100,20,690,156250,550000000
vary_B,Store,MiaoSCIS2026,5,100,20,690,156250,75000320
vary_B,Store,XuTIFS26,5,100,20,690,156250,550000160
vary_B,Store,FoldAudit,5,100,20,690,156250,550000160
vary_m,AuditProof,YuTC25,5,10,20,690,15625,1769920
vary_m,AuditProof,ZhangTPDS23,5,10,20,690,15625,224
vary_m,AuditProof,MiaoSCIS2026,5,10,20,690,15625,160
vary_m,AuditProof,XuTIFS26,5,10,20,690,15625,1766880
vary_m,AuditProof,FoldAudit,5,10,20,690,15625,1768000
vary_m,AuditProof,YuTC25,10,10,20,690,15625,3539840
vary_m,AuditProof,ZhangTPDS23,10,10,20,690,15625,224
vary_m,AuditProof,MiaoSCIS2026,10,10,20,690,15625,160
vary_m,AuditProof,XuTIFS26,10,10,20,690,15625,3533760
vary_m,AuditProof,FoldAudit,10,10,20,690,15625,3536000
vary_m,AuditProof,YuTC25,15,10,20,690,15625,5309760
vary_m,AuditProof,ZhangTPDS23,15,10,20,690,15625,224
vary_m,AuditProof,MiaoSCIS2026,15,10,20,690,15625,160
vary_m,AuditProof,XuTIFS26,15,10,20,690,15625,5300640
vary_m,AuditProof,FoldAudit,15,10,20,690,15625,5304000
vary_m,AuditProof,YuTC25,20,10,20,690,15625,7079680
vary_m,AuditProof,ZhangTPDS23,20,10,20,690,15625,224
vary_m,AuditProof,MiaoSCIS2026,20,10,20,690,15625,160
vary_m,AuditProof,XuTIFS26,20,10,20,690,15625,7067520
vary_m,AuditProof,FoldAudit,20,10,20,690,15625,7072000
vary_m,AuditProof,YuTC25,25,10,20,690,15625,8849600
vary_m,AuditProof,ZhangTPDS23,25,10,20,690,15625,224
vary_m,AuditProof,MiaoSCIS2026,25,10,20,690,15625,160
vary_m,AuditProof,XuTIFS26,25,10,20,690,15625,8834400
vary_m,AuditProof,FoldAudit,25,10,20,690,15625,8840000
vary_m,AuditProof,YuTC25,30,10,20,690,15625,10619520
vary_m,AuditProof,ZhangTPDS23,30,10,20,690,15625,224
vary_m,AuditProof,MiaoSCIS2026,30,10,20,690,15625,160
vary_m,AuditProof,XuTIFS26,30,10,20,690,15625,10601280
vary_m,AuditProof,FoldAudit,30,10,20,690,15625,10608000
