measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_B,B_MB,10,YuTC25,Store,5,10,20,690,15625,8.888265777,0.103309722,3,True
protocol_execution,vary_B,B_MB,10,YuTC25,Challenge,5,10,20,690,15625,0.010735431,0.000252259,3,True
protocol_execution,vary_B,B_MB,10,YuTC25,ProofGen,5,10,20,690,15625,0.073225806,0.002159354,3,True
protocol_execution,vary_B,B_MB,10,YuTC25,Verify,5,10,20,690,15625,0.362528166,0.006355804,3,True
protocol_execution,vary_B,B_MB,10,YuTC25,Audit,5,10,20,690,15625,0.446489403,0.008705231,3,True
protocol_execution,vary_B,B_MB,10,ZhangTPDS23,Store,5,10,20,690,15625,20.063235416,0.217572131,3,True
protocol_execution,vary_B,B_MB,10,ZhangTPDS23,Challenge,5,10,20,690,15625,0.010447445,0.000246979,3,True
protocol_execution,vary_B,B_MB,10,ZhangTPDS23,ProofGen,5,10,20,690,15625,0.366147528,0.012041591,3,True
protocol_execution,vary_B,B_MB,10,ZhangTPDS23,Verify,5,10,20,690,15625,0.844888264,0.003513425,3,True
protocol_execution,vary_B,B_MB,10,ZhangTPDS23,Audit,5,10,20,690,15625,1.221483237,0.009376804,3,True
protocol_execution,vary_B,B_MB,10,MiaoSCIS2026,Store,5,10,20,690,15625,18.862897889,0.091762777,3,True
protocol_execution,vary_B,B_MB,10,MiaoSCIS2026,Challenge,5,10,20,690,15625,0.005621181,9.5249e-05,3,True
protocol_execution,vary_B,B_MB,10,MiaoSCIS2026,ProofGen,5,10,20,690,15625,0.273944695,0.004687078,3,True
protocol_execution,vary_B,B_MB,10,MiaoSCIS2026,Verify,5,10,20,690,15625,0.544657972,0.012930589,3,True
protocol_execution,vary_B,B_MB,10,MiaoSCIS2026,Audit,5,10,20,690,15625,0.824223847,0.016208724,3,True
protocol_execution,vary_B,B_MB,10,XuTIFS26,Store,5,10,20,690,15625,8.550092306,0.020503808,3,True
protocol_execution,vary_B,B_MB,10,XuTIFS26,Challenge,5,10,20,690,15625,0.002172611,1.922e-05,3,True
protocol_execution,vary_B,B_MB,10,XuTIFS26,ProofGen,5,10,20,690,15625,0.076184153,0.000594942,3,True
protocol_execution,vary_B,B_MB,10,XuTIFS26,Verify,5,10,20,690,15625,0.341624667,0.004194413,3,True
protocol_execution,vary_B,B_MB,10,XuTIFS26,Audit,5,10,20,690,15625,0.419981431,0.004161642,3,True
protocol_execution,vary_B,B_MB,10,FoldAudit,Store,5,10,20,690,15625,8.873441458,0.07006676,3,True
protocol_execution,vary_B,B_MB,10,FoldAudit,Challenge,5,10,20,690,15625,0.000854722,1.8028e-05,3,True
protocol_execution,vary_B,B_MB,10,FoldAudit,ProofGen,5,10,20,690,15625,0.102458375,0.001374062,3,True
protocol_execution,vary_B,B_MB,10,FoldAudit,Verify,5,10,20,690,15625,0.365750972,0.008562181,3,True
protocol_execution,vary_B,B_MB,10,FoldAudit,Audit,5,10,20,690,15625,0.46906407,0.009887761,3,True
protocol_execution,vary_B,B_MB,20,YuTC25,Store,5,20,20,690,31250,17.377283652,0.149592543,3,True
protocol_execution,vary_B,B_MB,20,YuTC25,Challenge,5,20,20,690,31250,0.01103775,0.000530131,3,True
protocol_execution,vary_B,B_MB,20,YuTC25,ProofGen,5,20,20,690,31250,0.073401028,0.004727871,3,True
protocol_execution,vary_B,B_MB,20,YuTC25,Verify,5,20,20,690,31250,0.380961667,0.012051528,3,True
protocol_execution,vary_B,B_MB,20,YuTC25,Audit,5,20,20,690,31250,0.465400444,0.017300178,3,True
protocol_execution,vary_B,B_MB,20,ZhangTPDS23,Store,5,20,20,690,31250,40.458881084,0.341287723,3,True
protocol_execution,vary_B,B_MB,20,ZhangTPDS23,Challenge,5,20,20,690,31250,0.011176264,0.000941292,3,True
protocol_execution,vary_B,B_MB,20,ZhangTPDS23,ProofGen,5,20,20,690,31250,0.366941375,0.014041773,3,True
protocol_execution,vary_B,B_MB,20,ZhangTPDS23,Verify,5,20,20,690,31250,0.876059083,0.009355866,3,True
protocol_execution,vary_B,B_MB,20,ZhangTPDS23,Audit,5,20,20,690,31250,1.254176722,0.012976664,3,True
protocol_execution,vary_B,B_MB,20,MiaoSCIS2026,Store,5,20,20,690,31250,37.93788275,0.18262406,3,True
protocol_execution,vary_B,B_MB,20,MiaoSCIS2026,Challenge,5,20,20,690,31250,0.005843167,5.1165e-05,3,True
protocol_execution,vary_B,B_MB,20,MiaoSCIS2026,ProofGen,5,20,20,690,31250,0.279316069,0.001872273,3,True
protocol_execution,vary_B,B_MB,20,MiaoSCIS2026,Verify,5,20,20,690,31250,0.551917347,0.010820761,3,True
protocol_execution,vary_B,B_MB,20,MiaoSCIS2026,Audit,5,20,20,690,31250,0.837076583,0.011997847,3,True
protocol_execution,vary_B,B_MB,20,XuTIFS26,Store,5,20,20,690,31250,17.237190333,0.026379894,3,True
protocol_execution,vary_B,B_MB,20,XuTIFS26,Challenge,5,20,20,690,31250,0.002168458,6.467e-05,3,True
protocol_execution,vary_B,B_MB,20,XuTIFS26,ProofGen,5,20,20,690,31250,0.081994417,0.00189436,3,True
