measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_m,m,5,YuTC25,Store,5,10,20,690,15625,7.766846111,0.047343671,3,True
protocol_execution,vary_m,m,5,YuTC25,Challenge,5,10,20,690,15625,0.009516667,0.000309178,3,True
protocol_execution,vary_m,m,5,YuTC25,ProofGen,5,10,20,690,15625,0.063452736,0.000970217,3,True
protocol_execution,vary_m,m,5,YuTC25,Verify,5,10,20,690,15625,0.313002959,0.001444431,3,True
protocol_execution,vary_m,m,5,YuTC25,Audit,5,10,20,690,15625,0.385972362,0.00157443,3,True
protocol_execution,vary_m,m,5,ZhangTPDS23,Store,5,10,20,690,15625,18.58325975,0.860937421,3,True
protocol_execution,vary_m,m,5,ZhangTPDS23,Challenge,5,10,20,690,15625,0.009249708,5.7976e-05,3,True
protocol_execution,vary_m,m,5,ZhangTPDS23,ProofGen,5,10,20,690,15625,0.314929306,0.000511488,3,True
protocol_execution,vary_m,m,5,ZhangTPDS23,Verify,5,10,20,690,15625,0.76146775,0.007133651,3,True
protocol_execution,vary_m,m,5,ZhangTPDS23,Audit,5,10,20,690,15625,1.085646764,0.006707237,3,True
protocol_execution,vary_m,m,5,MiaoSCIS2026,Store,5,10,20,690,15625,19.972291,4.288377684,3,True
protocol_execution,vary_m,m,5,MiaoSCIS2026,Challenge,5,10,20,690,15625,0.005588805,0.000410369,3,True
protocol_execution,vary_m,m,5,MiaoSCIS2026,ProofGen,5,10,20,690,15625,0.271014069,0.016755386,3,True
protocol_execution,vary_m,m,5,MiaoSCIS2026,Verify,5,10,20,690,15625,0.540312528,0.032555203,3,True
protocol_execution,vary_m,m,5,MiaoSCIS2026,Audit,5,10,20,690,15625,0.816915402,0.04721673,3,True
protocol_execution,vary_m,m,5,XuTIFS26,Store,5,10,20,690,15625,8.987478986,0.029308359,3,True
protocol_execution,vary_m,m,5,XuTIFS26,Challenge,5,10,20,690,15625,0.002295958,6.4817e-05,3,True
protocol_execution,vary_m,m,5,XuTIFS26,ProofGen,5,10,20,690,15625,0.081800791,0.001546631,3,True
protocol_execution,vary_m,m,5,XuTIFS26,Verify,5,10,20,690,15625,0.353855417,0.005660674,3,True
protocol_execution,vary_m,m,5,XuTIFS26,Audit,5,10,20,690,15625,0.437952167,0.007075493,3,True
protocol_execution,vary_m,m,5,FoldAudit,Store,5,10,20,690,15625,9.125050111,0.129799879,3,True
protocol_execution,vary_m,m,5,FoldAudit,Challenge,5,10,20,690,15625,0.000905222,6.9227e-05,3,True
protocol_execution,vary_m,m,5,FoldAudit,ProofGen,5,10,20,690,15625,0.106231861,0.003412311,3,True
protocol_execution,vary_m,m,5,FoldAudit,Verify,5,10,20,690,15625,0.384415861,0.015728641,3,True
protocol_execution,vary_m,m,5,FoldAudit,Audit,5,10,20,690,15625,0.491552945,0.018639174,3,True
protocol_execution,vary_m,m,10,YuTC25,Store,10,10,20,690,15625,17.084344403,0.22252273,3,True
protocol_execution,vary_m,m,10,YuTC25,Challenge,10,10,20,690,15625,0.021215139,0.000482398,3,True
protocol_execution,vary_m,m,10,YuTC25,ProofGen,10,10,20,690,15625,0.13933225,0.001111369,3,True
protocol_execution,vary_m,m,10,YuTC25,Verify,10,10,20,690,15625,0.698579291,0.0074374,3,True
protocol_execution,vary_m,m,10,YuTC25,Audit,10,10,20,690,15625,0.85912668,0.007776192,3,True
protocol_execution,vary_m,m,10,ZhangTPDS23,Store,10,10,20,690,15625,39.151980389,0.10099096,3,True
protocol_execution,vary_m,m,10,ZhangTPDS23,Challenge,10,10,20,690,15625,0.021171264,0.000595737,3,True
protocol_execution,vary_m,m,10,ZhangTPDS23,ProofGen,10,10,20,690,15625,0.693572389,0.002169563,3,True
protocol_execution,vary_m,m,10,ZhangTPDS23,Verify,10,10,20,690,15625,1.688357347,0.042188544,3,True
protocol_execution,vary_m,m,10,ZhangTPDS23,Audit,10,10,20,690,15625,2.403101001,0.04376734,3,True
protocol_execution,vary_m,m,10,MiaoSCIS2026,Store,10,10,20,690,15625,37.273790542,0.27236905,3,True
protocol_execution,vary_m,m,10,MiaoSCIS2026,Challenge,10,10,20,690,15625,0.010588778,0.000220166,3,True
protocol_execution,vary_m,m,10,MiaoSCIS2026,ProofGen,10,10,20,690,15625,0.552159875,0.009496592,3,True
protocol_execution,vary_m,m,10,MiaoSCIS2026,Verify,10,10,20,690,15625,1.092753361,0.02265151,3,True
protocol_execution,vary_m,m,10,MiaoSCIS2026,Audit,10,10,20,690,15625,1.655502014,0.031912478,3,True
protocol_execution,vary_m,m,10,XuTIFS26,Store,10,10,20,690,15625,16.926299305,0.006369031,3,True
protocol_execution,vary_m,m,10,XuTIFS26,Challenge,10,10,20,690,15625,0.002117153,2.3207e-05,3,True
protocol_execution,vary_m,m,10,XuTIFS26,ProofGen,10,10,20,690,15625,0.162051625,0.006037915,3,True
protocol_execution,vary_m,m,10,XuTIFS26,Verify,10,10,20,690,15625,0.699690028,0.02903724,3,True
protocol_execution,vary_m,m,10,XuTIFS26,Audit,10,10,20,690,15625,0.863858806,0.033553841,3,True
protocol_execution,vary_m,m,10,FoldAudit,Store,10,10,20,690,15625,17.488388708,0.060948104,3,True
protocol_execution,vary_m,m,10,FoldAudit,Challenge,10,10,20,690,15625,0.001700333,6.1796e-05,3,True
protocol_execution,vary_m,m,10,FoldAudit,ProofGen,10,10,20,690,15625,0.214928069,0.011073566,3,True
protocol_execution,vary_m,m,10,FoldAudit,Verify,10,10,20,690,15625,0.7571995,0.035550378,3,True
protocol_execution,vary_m,m,10,FoldAudit,Audit,10,10,20,690,15625,0.973827902,0.046002162,3,True
