measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,vary_s,s,20,YuTC25,Store,5,10,20,690,15625,8.633976667,0.068130395,3,True
protocol_execution,vary_s,s,20,YuTC25,Challenge,5,10,20,690,15625,0.010655472,0.000338693,3,True
protocol_execution,vary_s,s,20,YuTC25,ProofGen,5,10,20,690,15625,0.070147444,0.001367524,3,True
protocol_execution,vary_s,s,20,YuTC25,Verify,5,10,20,690,15625,0.386865958,0.075149038,3,True
protocol_execution,vary_s,s,20,YuTC25,Audit,5,10,20,690,15625,0.467668875,0.076848335,3,True
protocol_execution,vary_s,s,20,ZhangTPDS23,Store,5,10,20,690,15625,19.509488597,0.065481545,3,True
protocol_execution,vary_s,s,20,ZhangTPDS23,Challenge,5,10,20,690,15625,0.010157097,0.000184579,3,True
protocol_execution,vary_s,s,20,ZhangTPDS23,ProofGen,5,10,20,690,15625,0.35262993,0.011781705,3,True
protocol_execution,vary_s,s,20,ZhangTPDS23,Verify,5,10,20,690,15625,0.810348875,0.010632233,3,True
protocol_execution,vary_s,s,20,ZhangTPDS23,Audit,5,10,20,690,15625,1.173135903,0.02199033,3,True
protocol_execution,vary_s,s,20,MiaoSCIS2026,Store,5,10,20,690,15625,18.39134093,0.048087196,3,True
protocol_execution,vary_s,s,20,MiaoSCIS2026,Challenge,5,10,20,690,15625,0.005514389,0.000139278,3,True
protocol_execution,vary_s,s,20,MiaoSCIS2026,ProofGen,5,10,20,690,15625,0.265848708,0.003659883,3,True
protocol_execution,vary_s,s,20,MiaoSCIS2026,Verify,5,10,20,690,15625,0.531832666,0.005534581,3,True
protocol_execution,vary_s,s,20,MiaoSCIS2026,Audit,5,10,20,690,15625,0.803195763,0.006925419,3,True
protocol_execution,vary_s,s,20,XuTIFS26,Store,5,10,20,690,15625,8.393812125,0.003340444,3,True
protocol_execution,vary_s,s,20,XuTIFS26,Challenge,5,10,20,690,15625,0.002142097,4.2783e-05,3,True
protocol_execution,vary_s,s,20,XuTIFS26,ProofGen,5,10,20,690,15625,0.076184111,6.5488e-05,3,True
protocol_execution,vary_s,s,20,XuTIFS26,Verify,5,10,20,690,15625,0.328858597,0.000856628,3,True
protocol_execution,vary_s,s,20,XuTIFS26,Audit,5,10,20,690,15625,0.407184806,0.000903046,3,True
protocol_execution,vary_s,s,20,FoldAudit,Store,5,10,20,690,15625,8.716859847,0.038323982,3,True
protocol_execution,vary_s,s,20,FoldAudit,Challenge,5,10,20,690,15625,0.000847486,5.0543e-05,3,True
protocol_execution,vary_s,s,20,FoldAudit,ProofGen,5,10,20,690,15625,0.099959514,0.001719151,3,True
protocol_execution,vary_s,s,20,FoldAudit,Verify,5,10,20,690,15625,0.359641556,0.007209316,3,True
