measurement_method,scenario,variable,value,scheme,phase,m,B_MB,s,c,n,seconds,seconds_stddev,repeats,ok
protocol_execution,baseline,baseline,0,YuTC25,Store,5,10,20,690,15625,7.781451000,0.027886897,3,true
protocol_execution,baseline,baseline,0,YuTC25,Challenge,5,10,20,690,15625,0.009446833,0.000138998,3,true
protocol_execution,baseline,baseline,0,YuTC25,ProofGen,5,10,20,690,15625,0.068266903,0.010398208,3,true
protocol_execution,baseline,baseline,0,YuTC25,Verify,5,10,20,690,15625,0.312995875,0.003276439,3,true
protocol_execution,baseline,baseline,0,YuTC25,Audit,5,10,20,690,15625,0.390709611,0.010928841,3,true
protocol_execution,baseline,baseline,0,ZhangTPDS23,Store,5,10,20,690,15625,18.141332889,0.021412505,3,true
protocol_execution,baseline,baseline,0,ZhangTPDS23,Challenge,5,10,20,690,15625,0.009323722,0.000094461,3,true
protocol_execution,baseline,baseline,0,ZhangTPDS23,ProofGen,5,10,20,690,15625,0.314911125,0.002745108,3,true
protocol_execution,baseline,baseline,0,ZhangTPDS23,Verify,5,10,20,690,15625,0.758043028,0.015083966,3,true
protocol_execution,baseline,baseline,0,ZhangTPDS23,Audit,5,10,20,690,15625,1.082277874,0.016908907,3,true
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Store,5,10,20,690,15625,17.277485597,0.083209361,3,true
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Challenge,5,10,20,690,15625,0.005175848,0.000030619,3,true
protocol_execution,baseline,baseline,0,MiaoSCIS2026,ProofGen,5,10,20,690,15625,0.258472459,0.009073610,3,true
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Verify,5,10,20,690,15625,0.497734903,0.001217888,3,true
protocol_execution,baseline,baseline,0,MiaoSCIS2026,Audit,5,10,20,690,15625,0.761383209,0.008454729,3,true
protocol_execution,baseline,baseline,0,XuTIFS26,Store,5,10,20,690,15625,7.726997014,0.015795124,3,true
protocol_execution,baseline,baseline,0,XuTIFS26,Challenge,5,10,20,690,15625,0.001946167,0.000013787,3,true
protocol_execution,baseline,baseline,0,XuTIFS26,ProofGen,5,10,20,690,15625,0.069236777,0.000355060,3,true
protocol_execution,baseline,baseline,0,XuTIFS26,Verify,5,10,20,690,15625,0.308836180,0.020569652,3,true
protocol_execution,baseline,baseline,0,XuTIFS26,Audit,5,10,20,690,15625,0.380019125,0.020488802,3,true
protocol_execution,baseline,baseline,0,FoldAudit,Store,5,10,20,690,15625,7.984601806,0.109769628,3,true
protocol_execution,baseline,baseline,0,FoldAudit,Challenge,5,10,20,690,15625,0.000764153,0.000023170,3,true
protocol_execution,baseline,baseline,0,FoldAudit,ProofGen,5,10,20,690,15625,0.087180611,0.000944141,3,true
protocol_execution,baseline,baseline,0,FoldAudit,Verify,5,10,20,690,15625,0.303727320,0.001654127,3,true
protocol_execution,baseline,baseline,0,FoldAudit,Audit,5,10,20,690,15625,0.391672083,0.002503764,3,true
protocol_execution,vary_m,m,5,YuTC25,Store,5,10,20,690,15625,7.766846111,0.047343671,3,true
protocol_execution,vary_m,m,5,YuTC25,Challenge,5,10,20,690,15625,0.009516667,0.000309178,3,true
protocol_execution,vary_m,m,5,YuTC25,ProofGen,5,10,20,690,15625,0.063452736,0.000970217,3,true
protocol_execution,vary_m,m,5,YuTC25,Verify,5,10,20,690,15625,0.313002959,0.001444431,3,true
protocol_execution,vary_m,m,5,YuTC25,Audit,5,10,20,690,15625,0.385972362,0.001574430,3,true
protocol_execution,vary_m,m,5,ZhangTPDS23,Store,5,10,20,690,15625,18.583259750,0.860937421,3,true
protocol_execution,vary_m,m,5,ZhangTPDS23,Challenge,5,10,20,690,15625,0.009249708,0.000057976,3,true
protocol_execution,vary_m,m,5,ZhangTPDS23,ProofGen,5,10,20,690,15625,0.314929306,0.000511488,3,true
protocol_execution,vary_m,m,5,ZhangTPDS23,Verify,5,10,20,690,15625,0.761467750,0.007133651,3,true
protocol_execution,vary_m,m,5,ZhangTPDS23,Audit,5,10,20,690,15625,1.085646764,0.006707237,3,true
protocol_execution,vary_m,m,5,MiaoSCIS2026,Store,5,10,20,690,15625,19.972291000,4.288377684,3,true
protocol_execution,vary_m,m,5,MiaoSCIS2026,Challenge,5,10,20,690,15625,0.005588805,0.000410369,3,true
